Wavelength	Abs
349	0,1133299395
348	0,09779659659
347	0,0956671536
346	0,09917191416
345	0,09939539433
344	0,09796053171
343	0,0989330411
342	0,0998640433
341	0,09832925349
340	0,100522913
339	0,1010676548
338	0,1011255085
337	0,1022352651
336	0,102722533
335	0,1033824459
334	0,104211539
333	0,1040654629
332	0,1049510762
331	0,1051380113
330	0,1058239341
329	0,1074645147
328	0,1080763936
327	0,1082804576
326	0,1078162119
325	0,1098858863
324	0,1106868908
323	0,1112848669
322	0,1134075001
321	0,1132164672
320	0,1139376909
319	0,1160076261
318	0,1152070537
317	0,1185126752
316	0,1192745045
315	0,1213792339
314	0,1224573031
313	0,1260734648
312	0,1263006777
311	0,1278457046
310	0,1303506643
309	0,1338869184
308	0,1316897124
307	0,1365745962
306	0,1423691064
305	0,1505437046
304	0,1606877595
303	0,1729456037
302	0,187867403
301	0,2057259381
300	0,2252255827
299	0,2479992509
298	0,2702317834
297	0,2927668989
296	0,3140021265
295	0,3349380791
294	0,3556656539
293	0,3768598437
292	0,3986374438
291	0,4200624228
290	0,441558212
289	0,4599262178
288	0,4789265692
287	0,4980548918
286	0,5156512856
285	0,5353031158
284	0,5537144542
283	0,5748995543
282	0,595538795
281	0,6163251996
280	0,6384746432
279	0,6609716415
278	0,6828522086
277	0,7066767812
276	0,7303573489
275	0,7534392476
274	0,7765433788
273	0,7987064719
272	0,8193854094
271	0,8399558067
270	0,8586778641
269	0,8761148453
268	0,8936335444
267	0,9067572355
266	0,9207975268
265	0,932056725
264	0,9391766787
263	0,9457765818
262	0,9499411583
261	0,9518559575
260	0,9520926476
259	0,9504150152
258	0,9461870193
257	0,941247344
256	0,9342835546
255	0,9283495545
254	0,9212055206
253	0,9131371379
252	0,9055466652
251	0,8970604539
250	0,8895693421
249	0,8814201951
248	0,8746062517
247	0,8675414324
246	0,8626926541
245	0,8588060737
244	0,8566008806
243	0,8558738828
242	0,857873857
241	0,8630062938
240	0,8689479232
239	0,877894938
238	0,8901538253
237	0,9066646099
236	0,9255272746
235	0,9495279193
234	0,9777568579
233	1,010601878
232	1,048788309
231	1,092635632
230	1,141033649
229	1,196331978
228	1,25800705
227	1,329547405
226	1,40936017
225	1,500754237
224	1,604741216
223	1,727947831
222	1,867515445
221	2,034061909
220	2,225765944
