Wavelength	Abs
349	0,1116522253
348	0,09597946703
347	0,09468390048
346	0,09754438698
345	0,09786956012
344	0,0973142758
343	0,09809535742
342	0,09800922126
341	0,0977896601
340	0,09713740647
339	0,09939201176
338	0,09883224219
337	0,1003076583
336	0,1003774554
335	0,1011854708
334	0,1020347401
333	0,1020661071
332	0,10388688
331	0,1034200862
330	0,1046638042
329	0,1050920784
328	0,1058054417
327	0,1062625125
326	0,1066539362
325	0,1078099459
324	0,1090099588
323	0,1102816984
322	0,1099097878
321	0,1122594848
320	0,1126257256
319	0,1136658043
318	0,1156523079
317	0,1157047078
316	0,1164887398
315	0,1178596094
314	0,1191910431
313	0,1227448806
312	0,1229584962
311	0,123846136
310	0,1254517585
309	0,1272653341
308	0,1249727011
307	0,1276907623
306	0,130558446
305	0,1338949203
304	0,1377628297
303	0,1439767331
302	0,1496043056
301	0,1569596976
300	0,1645596623
299	0,1740651429
298	0,1827896088
297	0,1904921979
296	0,1995184422
295	0,2088395953
294	0,2183301449
293	0,2280777395
292	0,2397859693
291	0,2511618733
290	0,2648269236
289	0,2762150466
288	0,2917812765
287	0,3092263937
286	0,3275715411
285	0,3496960402
284	0,3741659224
283	0,4015927613
282	0,4320033193
281	0,4655016363
280	0,5009313226
279	0,5381023884
278	0,5758225918
277	0,6149425507
276	0,6539170146
275	0,6924802661
274	0,7309243679
273	0,766695261
272	0,803309083
271	0,8389040232
270	0,8705155849
269	0,9011260271
268	0,9282491207
267	0,9530255198
266	0,9757474065
265	0,9947759509
264	1,009006143
263	1,021635175
262	1,030784488
261	1,036056638
260	1,038021564
259	1,038602829
258	1,035656691
257	1,031301618
256	1,024638176
255	1,017822504
254	1,00998342
253	1,001710296
252	0,9921215773
251	0,9846501946
250	0,9749245048
249	0,9684593081
248	0,9593581557
247	0,9529132843
246	0,9477066398
245	0,9445126057
244	0,9434355497
243	0,9446558952
242	0,9468201995
241	0,9516447783
240	0,959402442
239	0,9684209824
238	0,9812774062
237	0,9963051677
236	1,014903903
235	1,037350655
234	1,063034773
233	1,091738939
232	1,125852704
231	1,16310966
230	1,205861807
229	1,254191279
228	1,307353973
227	1,369416714
226	1,439332604
225	1,519598126
224	1,612798333
223	1,721351743
222	1,851190805
221	2,001938581
220	2,183298588
