water,,
Wavelength (nm),Abs,
349,0.1057103947,
348,0.09006421268,
347,0.08874886483,
346,0.09259993583,
345,0.09329985082,
344,0.0941182971,
343,0.09563367069,
342,0.09702071548,
341,0.09682578593,
340,0.09883562475,
339,0.1004002541,
338,0.1009841561,
337,0.1023767665,
336,0.1034159139,
335,0.105824694,
334,0.1072444618,
333,0.1079671457,
332,0.1090986356,
331,0.1111309379,
330,0.1126000285,
329,0.1140295044,
328,0.1165743843,
327,0.1177784577,
326,0.1199919432,
325,0.1222649887,
324,0.1246634349,
323,0.1264542639,
322,0.1299342811,
321,0.1326744407,
320,0.1351385415,
319,0.1383368969,
318,0.1403977275,
317,0.1447950453,
316,0.147364378,
315,0.1521724164,
314,0.155454427,
313,0.1618158966,
312,0.1658091247,
311,0.1701040864,
310,0.174819991,
309,0.1806316823,
308,0.1888206601,
307,0.1950090975,
306,0.2020076513,
305,0.2094955295,
304,0.2174115032,
303,0.2258183509,
302,0.2342650294,
301,0.2437051833,
300,0.2528690696,
299,0.262699455,
298,0.2726650834,
297,0.2819900811,
296,0.2913949192,
295,0.3008562922,
294,0.3111257255,
293,0.3210427463,
292,0.3312063217,
291,0.3422445655,
290,0.352525115,
289,0.3608365059,
288,0.3704330027,
287,0.3802864552,
286,0.388363868,
285,0.3983401954,
284,0.4059834182,
283,0.4150972664,
282,0.4217734039,
281,0.4303321838,
280,0.4357251227,
279,0.4437875748,
278,0.4489303529,
277,0.4552510381,
276,0.4610945582,
275,0.4663568139,
274,0.47050488,
273,0.4761459529,
272,0.4811633825,
271,0.4859408438,
270,0.4904051423,
269,0.495210886,
268,0.499765873,
267,0.5042627454,
266,0.5098799467,
265,0.5161191225,
264,0.5224714279,
263,0.5279912353,
262,0.5349630117,
261,0.5430305004,
260,0.5506731272,
259,0.5586572289,
258,0.5669458508,
257,0.5757128,
256,0.5847027898,
255,0.5945379138,
254,0.604841888,
253,0.6155615449,
252,0.6264942884,
251,0.6387407184,
250,0.6497753859,
249,0.6608902812,
248,0.6719485521,
247,0.6812069416,
246,0.6924933791,
245,0.7015917301,
244,0.7122334242,
243,0.7220680714,
242,0.7323952317,
241,0.7418417335,
240,0.7504467368,
239,0.7591867447,
238,0.7681407332,
237,0.7774770856,
236,0.7853583694,
235,0.7961962819,
234,0.8056980968,
233,0.8172030449,
232,0.8309381008,
231,0.845972538,
230,0.8633700013,
229,0.8852654696,
228,0.9116393924,
227,0.9452349544,
226,0.9870935082,
225,1.039443731,
224,1.104954362,
223,1.186047316,
222,1.28538847,
221,1.40425694,
220,1.546918154,

water,
water
Collection Time: 22/11/2024 9:27:29 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 220.00

